"id_cliente";"n_polizas_tomador_ahorro";"n_polizas_tomador_autos";"n_polizas_tomador_jubilacion";"n_polizas_tomador_jubilacion_golf";"n_polizas_tomador_no_vida";"n_polizas_tomador_rc";"n_polizas_tomador_rentas";"n_polizas_tomador_riesgo_tomador";"n_polizas_tomador_vida_riesgo";"n_polizas_tomador_vida_riesgo_pm";"n_polizas_tomador_no_vida"
460;0;0;0;0;2;0;0;0;0;0;2
461;4;0;0;0;0;0;0;0;0;0;0
462;2;0;0;0;0;0;0;0;0;0;0
463;0;0;0;0;1;0;0;0;0;0;1
464;0;0;0;0;1;0;0;0;0;0;1
465;2;0;0;0;0;0;0;0;0;0;0
466;1;0;1;0;0;0;0;0;0;0;0
467;2;0;0;0;0;0;0;0;0;0;0
468;3;0;0;0;0;0;0;0;0;0;0
469;0;0;0;0;1;0;0;0;0;0;1
470;5;0;0;0;0;0;0;0;0;0;0
471;1;0;0;0;0;0;0;0;0;0;0
472;1;0;0;0;0;0;0;1;0;1;0
473;0;0;0;0;2;0;0;0;0;0;2
474;1;0;0;0;0;0;0;0;0;0;0
475;1;0;0;0;0;0;0;0;0;0;0
476;4;0;0;0;0;0;0;0;0;0;0
477;0;0;0;1;0;0;0;0;0;0;0
478;0;0;0;0;1;0;0;0;0;0;1
479;2;0;0;0;1;0;0;0;0;0;1
480;1;0;0;1;0;0;0;0;0;0;0
481;0;0;0;2;0;0;0;0;0;0;0
482;1;0;1;0;0;0;0;0;0;0;0
483;2;0;0;0;0;0;0;0;0;0;0
484;1;0;0;0;0;0;0;0;0;0;0
485;1;0;0;0;0;0;0;0;0;0;0
486;1;0;0;0;0;0;0;2;0;0;0
487;0;0;0;0;0;0;0;0;0;0;0
488;0;0;0;0;2;0;0;0;0;0;2
489;1;0;0;0;0;0;0;0;0;0;0
490;0;0;0;0;2;0;0;0;0;0;2
491;1;0;0;0;3;0;0;0;0;0;3
492;2;0;1;0;0;0;0;0;0;0;0
493;0;0;0;0;1;0;0;0;0;0;1
494;0;0;0;0;1;0;0;0;0;0;1
495;0;0;0;0;1;0;0;0;0;0;1
496;1;0;0;0;1;0;0;0;0;0;1
497;0;2;0;0;0;0;0;0;0;0;0
498;0;0;0;0;1;0;0;0;0;0;1
499;0;0;0;0;1;0;0;0;0;0;1
500;1;0;1;0;0;0;1;0;0;1;0
501;0;1;0;0;0;0;0;0;0;0;0
502;0;0;0;0;1;0;0;0;0;0;1
503;3;0;0;0;0;0;0;0;0;0;0
504;0;0;0;0;1;0;0;0;0;0;1
505;0;2;0;0;0;0;0;0;0;0;0
506;0;0;0;0;1;0;0;0;0;0;1
507;0;0;0;0;2;0;0;0;0;0;2
508;0;0;0;0;0;0;0;0;0;1;0
509;0;0;0;0;1;0;0;0;0;0;1
510;2;0;0;0;0;0;0;0;0;0;0
511;1;0;0;0;0;0;0;0;0;0;0
512;0;0;0;0;2;0;0;0;0;0;2
513;0;0;0;0;1;0;0;0;0;0;1
514;1;0;0;0;0;0;0;0;0;0;0
515;0;0;0;0;1;0;0;0;0;0;1
516;0;0;0;0;1;0;0;0;0;0;1
517;0;0;1;1;1;0;0;0;0;0;1
518;1;0;0;0;1;0;0;0;0;0;1
519;0;0;0;0;1;0;0;0;0;0;1
520;0;0;0;1;0;0;0;0;0;0;0
521;0;0;0;1;0;0;0;0;0;0;0
522;1;0;0;0;0;0;0;0;0;0;0
523;1;0;0;0;0;0;0;0;0;0;0
524;1;0;0;0;1;0;0;0;0;0;1
525;1;0;0;0;0;0;0;0;0;0;0
526;0;0;0;0;0;0;0;2;0;0;0
