"id_cliente";"sexo";"estado_civil";"tipo_baja";"familia_captacion"
448;"M";"C";"nunca";"No_vida"
449;"M";"C";"parcial";"Jubilacion"
450;"H";"D";"nunca";"No_vida"
451;"M";"S";"parcial";"Ahorro"
452;"H";"C";"total";"Ahorro"
453;"H";"";"total";"Ahorro"
454;"H";"S";"parcial";"No_vida"
455;"M";"C";"total";"No_vida"
456;"H";"C";"nunca";"Ahorro"
457;"H";"S";"parcial";"Ahorro"
458;"H";"C";"nunca";"Ahorro"
459;"H";"C";"total";"Ahorro"
460;"H";"C";"parcial";"No_vida"
461;"M";"C";"parcial";"Ahorro"
462;"H";"C";"parcial";"Ahorro"
463;"H";"";"nunca";"No_vida"
464;"H";"S";"nunca";"No_vida"
465;"M";"";"parcial";"Ahorro"
466;"M";"S";"parcial";"Ahorro"
467;"H";"";"parcial";"Ahorro"
468;"H";"C";"parcial";"Ahorro"
469;"M";"D";"total";"No_vida"
470;"H";"C";"total";"Ahorro"
471;"H";"";"nunca";"Ahorro"
472;"M";"C";"parcial";"Ahorro"
473;"M";"S";"total";"No_vida"
474;"M";"";"parcial";"Ahorro"
475;"H";"C";"nunca";"Ahorro"
476;"M";"";"parcial";"Ahorro"
477;"M";"";"nunca";"Jubilacion_GOLF"
478;"M";"C";"nunca";"No_vida"
479;"H";"";"total";"No_vida"
480;"M";"C";"nunca";"Ahorro"
481;"M";"";"nunca";"Jubilacion_GOLF"
482;"M";"C";"nunca";"Jubilacion"
483;"M";"C";"total";"Vida_Riesgo"
484;"M";"";"total";"Ahorro"
485;"H";"";"nunca";"Ahorro"
486;"H";"C";"parcial";"Ahorro"
487;"H";"C";"total";"Vida_Riesgo"
488;"M";"S";"total";"No_vida"
489;"M";"C";"nunca";"Ahorro"
490;"M";"C";"nunca";"No_vida"
491;"M";"S";"parcial";"No_vida"
492;"H";"C";"parcial";"Ahorro"
493;"M";"S";"total";"No_vida"
494;"H";"C";"nunca";"No_vida"
495;"M";"D";"total";"No_vida"
496;"M";"";"fallecido";"No_vida"
497;"H";"";"parcial";"Autos"
498;"H";"C";"nunca";"No_vida"
499;"H";"S";"nunca";"No_vida"
500;"M";"C";"parcial";"Ahorro"
501;"H";"S";"total";"Autos"
502;"M";"S";"nunca";"No_vida"
503;"H";"C";"total";"Ahorro"
504;"M";"S";"total";"No_vida"
505;"H";"";"total";"Autos"
506;"M";"C";"total";"No_vida"
507;"H";"S";"parcial";"No_vida"
508;"M";"C";"nunca";"Vida_Riesgo_PM"
509;"M";"S";"nunca";"No_vida"
510;"H";"";"parcial";"Ahorro"
511;"M";"C";"nunca";"Ahorro"
512;"H";"S";"parcial";"No_vida"
513;"H";"C";"nunca";"No_vida"
514;"H";"S";"nunca";"Ahorro"
515;"M";"S";"total";"No_vida"
516;"H";"C";"nunca";"No_vida"
517;"M";"V";"parcial";"No_vida"
518;"M";"C";"parcial";"Vida_Riesgo"
519;"H";"C";"total";"No_vida"
520;"H";"";"nunca";"Jubilacion_GOLF"
521;"M";"";"nunca";"Jubilacion_GOLF"
522;"H";"";"parcial";"Ahorro"
523;"M";"";"parcial";"Vida_Riesgo"
524;"M";"S";"nunca";"No_vida"
525;"M";"";"nunca";"Ahorro"
526;"H";"C";"parcial";"Riesgo_Tomador"
527;"M";"C";"total";"No_vida"
528;"H";"C";"parcial";"Autos"
529;"M";"C";"nunca";"Ahorro"
530;"H";"";"nunca";"No_vida"
531;"H";"C";"parcial";"No_vida"
532;"M";"C";"parcial";"Ahorro"
533;"M";"";"parcial";"Autos"
534;"M";"S";"total";"No_vida"
535;"M";"";"total";"Ahorro"
536;"H";"C";"fallecido";"Ahorro"
537;"M";"C";"total";"No_vida"
538;"M";"C";"parcial";"Jubilacion"
539;"H";"C";"parcial";"Vida_Riesgo"
540;"H";"";"nunca";"Autos"
541;"H";"S";"nunca";"No_vida"
542;"M";"C";"parcial";"No_vida"
543;"M";"C";"parcial";"Vida_Riesgo"
544;"H";"D";"total";"No_vida"
